CoCd,Material,Short Text,Plnt,SLoc,Matl Group,PO Quantity,Net Price,Net Value,Gross value,Price Date,Daily Median Net Price
7860,7101320.0,IB Ross Broiler Starter Feed,PS21,F003,1500,15000.0,27.9,418500.0,418500.0,2019-01-01,28.12
7860,7101320.0,IB Ross Broiler Finisher Feed,PS21,F003,1500,15000.0,25.76,386400.0,386400.0,2019-01-01,26.56
7860,7101320.0,IB Ross Broiler Pre-Starter Feed,PS27,B153,1500,6150.0,29.45,181117.5,181117.5,2019-01-01,29.95
7860,7101320.0,IB Ross Broiler Starter Feed,PS27,B153,1500,5700.0,27.4,156180.0,156180.0,2019-01-01,28.12
7860,7101320.0,IB Ross Broiler Finisher Feed,PS27,B360,1500,3500.0,25.26,88410.0,88410.0,2019-01-01,26.56
7860,7101320.0,IB Ross Broiler Finisher Feed,PS27,B236,1500,9650.0,25.26,243759.0,243759.0,2019-01-01,26.56
7860,7101320.0,IB Ross Broiler Finisher Feed,PS23,A867,1500,7500.0,26.56,199200.0,199200.0,2019-01-01,26.56
7860,7101320.0,IB Ross Broiler Pre-Starter Feed,PS23,B042,1500,900.0,30.75,27675.0,27675.0,2019-01-01,29.95
7860,7101320.0,IB Ross Broiler Starter Feed,PS23,B042,1500,4750.0,28.7,136325.0,136325.0,2019-01-01,28.12
7860,7101320.0,IB Ross Broiler Finisher Feed,PS23,B042,1500,1800.0,26.56,47808.0,47808.0,2019-01-01,26.56
7860,7101320.0,IB Ross Broiler Pre-Starter Feed,PS23,B044,1500,1200.0,30.75,36900.0,36900.0,2019-01-01,29.95
7860,7101320.0,IB Ross Broiler Starter Feed,PS23,B044,1500,2800.0,28.7,80360.0,80360.0,2019-01-01,28.12
7860,7101320.0,IB Ross Broiler Finisher Feed,PS23,B044,1500,6050.0,26.56,160688.0,160688.0,2019-01-01,26.56
7860,7101320.0,IB Ross Broiler Pre-Starter Feed,PS22,B207,1500,2950.0,28.45,83927.5,83927.5,2019-01-01,29.95
7860,7101320.0,IB Ross Broiler Starter Feed,PS22,B207,1500,6450.0,26.4,170280.0,170280.0,2019-01-01,28.12
7860,7101320.0,IB Ross Broiler Finisher Feed,PS22,B207,1500,600.0,24.26,14556.0,14556.0,2019-01-01,26.56
7860,7101320.0,IB Ross Broiler Pre-Starter Feed,PS22,B174,1500,950.0,28.45,27027.5,27027.5,2019-01-01,29.95
7860,7101320.0,IB Ross Broiler Starter Feed,PS22,B174,1500,2050.0,26.4,54120.0,54120.0,2019-01-01,28.12
7860,7101320.0,IB Ross Broiler Finisher Feed,PS22,B174,1500,2000.0,24.26,48520.0,48520.0,2019-01-01,26.56
7860,7101320.0,IB Ross Broiler Pre-Starter Feed,PS22,B133,1500,1250.0,28.45,35562.5,35562.5,2019-01-01,29.95
